50seconds,100seconds,500seconds
0.3869768,0.5140357,0.6016155
0.1019618,0.616263,0.5245378
0.1100635,0.4141848,0.5336186
0.3362022,0.3495351,0.506415
0.2305148,0.7397475,0.5260939
0.5725176,1.090855,0.4451593
0.6941499,0.6529312,0.4825391
0.397945,0.3892363,0.5371795
0.5957931,0.237012,0.4690169
0.2009882,0.6189117,0.464826
0.2139863,0.2999478,0.5165735
0.2287181,0.2905441,0.5420363
0.6856878,0.3936193,0.6794598
0.2506239,0.6021625,0.4559452
0.1967091,0.6549827,0.3277332
0.4013824,0.7473726,0.511942
0.5193552,0.2520048,0.4276062
0.3431154,0.1731299,0.4451427
0.4411041,0.4513826,0.5302433
0.4548935,0.5023859,0.5885683
0.4621805,0.5296577,0.4196041
0.1907442,0.3897105,0.557034
0.3079155,0.8919809,0.6544588
8.132676e-05,0.4790527,0.4213121
0.6981857,0.8920131,0.5871286
0.1294564,0.3366958,0.454864
0.5193615,0.6149821,0.3876845
0.3012214,0.1677341,0.4864633
0.7949127,0.6411662,0.5623049
1.042099,0.5518831,0.4442288
0.06826818,0.5230069,0.5282566
0.3088042,0.4848155,0.3981168
0.006874757,0.3527448,0.3913491
0.4562347,0.591975,0.5708256
0.479663,0.950956,0.533
1.417173,0.7879501,0.540371
0.4767504,0.3572205,0.6120858
0.7413778,0.795448,0.3297379
0.3507886,0.3945816,0.5110204
0.09477993,0.8946637,0.4490893
1.085528e-09,0.4982602,0.6315917
0.3936285,0.7700138,0.4919594
0.4745501,0.346361,0.4018461
0.9260278,0.3441713,0.521039
0.3573999,0.5345111,0.4000845
0.6654898,1.308922,0.6089769
0.4882261,0.1335039,0.6361395
0.4259282,0.2725093,0.3819296
0.07659897,0.2732896,0.5168147
0.6214262,0.5469817,0.365171
0.4986762,0.4616364,0.4523296
0.2514141,0.6539939,0.4243511
0.7352314,0.6760426,0.5302709
0.5756765,0.3499798,0.4439416
0.1550439,0.1276511,0.5247056
0.3572872,0.2999835,0.5606385
0.2480153,0.9167357,0.5020159
0.4855459,0.3431432,0.4870267
0.2396595,0.3099281,0.4083401
1.697603e-10,0.6417738,0.4594884
0.6101776,0.3011918,0.4792912
0.2199339,0.7092087,0.4129754
0.2074006,0.3456741,0.5155751
0.3152579,0.5808983,0.4570546
0.3409537,1.347284,0.4833101
0.1607337,0.3127854,0.5567677
0.06101587,0.2254402,0.4727453
0.4569401,0.6820099,0.415737
0.5878336,0.5058789,0.5228129
1.05058,0.5278169,0.4402203
0.4422482,0.7628556,0.5088176
0.425998,0.4113543,0.5472245
0.3533487,0.2333521,0.3476771
0.3948752,0.4180683,0.4469009
0.4360935,0.4880117,0.4538208
0.2756932,0.6144106,0.4130683
0.6404628,0.4065034,0.5369193
0.9098008,0.4038468,0.6342408
0.2749198,0.3635016,0.5581846
0.6206481,0.3871368,0.4150408
0.9468907,0.4294581,0.4809481
0.619491,0.5483025,0.284771
0.3590817,0.1224349,0.5750917
0.6983111,0.6556495,0.4085129
0.2515787,0.5842088,0.5506239
0.4784231,0.2672173,0.481897
0.2228863,0.5466046,0.4967999
0.2686579,0.09880568,0.5502625
1.683554,0.3782133,0.5793124
0.4649616,0.6064063,0.5855102
0.6431986,0.687234,0.4590039
0.1874112,0.390421,0.4510309
0.3614728,0.5340421,0.63656
0.4313006,0.6642744,0.5757279
0.7464416,0.3486504,0.6484751
0.5498783,0.420404,0.4259146
0.3930055,0.877528,0.3958231
0.151322,0.4477925,0.4236555
0.528489,0.3696543,0.596858
0.7666343,0.6858134,0.5761268
