50seconds,100seconds,500seconds
7.571328,0.9914298,1.557404
0.2223544,1.347958,1.096587
5.023008,0.8894628,1.008004
0.7091568,0.8852467,0.9181552
0.4904822,1.468267,1.146037
1.673757,2.357297,0.8245436
1.46953,1.43899,1.078098
0.7320606,0.8275667,0.9750583
1.36129,0.5539258,0.8496622
0.6639039,1.135297,1.067697
0.8421785,0.6032828,0.9666877
0.6039074,0.7206636,1.105654
1.526428,0.8824513,1.299918
0.9935284,1.148192,0.7989037
0.6664738,1.166867,0.6564464
0.569664,1.797994,0.9912236
1.160667,0.589469,0.8516734
0.6508865,0.7380169,1.105295
0.7661984,1.069358,1.159243
0.9296101,1.125871,1.072939
0.7144263,0.8674242,0.927433
0.405765,0.8144848,1.104577
1.44235,1.516263,1.340923
0.3946823,0.9598971,0.8191113
1.314706,1.743553,0.9593399
0.320628,1.170935,0.9220221
2.993528,0.9996263,0.8169332
0.7293083,0.9687019,0.996066
1.34269,1.603128,0.9957568
2.027953,1.509995,1.025511
0.5734435,0.8492922,1.121914
0.4848177,1.006504,0.8193222
2.139942,0.8701693,0.7999804
0.9928974,0.9051237,1.133921
0.8993344,1.858261,1.068531
2.864599,1.250124,1.022614
0.8453984,0.8521049,1.133537
1.484413,1.684326,0.8280837
3.017495,1.23587,0.9417256
0.8255757,2.118045,0.8975083
0.6078145,1.076081,1.296462
0.6167137,1.724165,0.9041783
2.189888,0.6480627,0.7447296
1.392778,1.103346,1.085113
0.5136903,0.8237016,0.8075285
1.111656,2.706507,1.148952
0.9020832,0.7623453,1.217125
1.033292,1.124771,0.9391629
0.2690367,0.9892722,0.9048679
1.63655,1.559922,0.9676494
1.028336,0.7355513,0.9471164
1.261411,1.092757,0.9678155
1.714357,1.541224,1.195254
2.009895,0.6618712,0.8563665
0.7760136,0.692327,1.076885
0.7043018,0.8145563,1.059925
0.8310984,1.620292,1.141633
0.9796834,1.028192,1.222793
0.7670242,0.5342096,0.7681568
0.5590485,1.302177,1.10097
1.6653,0.6333012,1.007342
0.4686883,1.277547,0.8884936
0.4298292,1.016066,1.125162
0.5531757,1.13737,0.7933171
0.6277697,11.12195,0.8548073
0.3775573,0.6460707,1.152451
0.826496,0.7777968,1.092076
1.482784,1.224746,0.9734313
1.294319,1.57009,1.009592
4.546412,1.173455,0.9457581
1.835528,1.438628,0.9537588
0.8280312,0.8474102,1.073506
1.001579,0.4283785,0.7496075
0.4875514,0.8107442,0.8455184
0.7295851,0.9967157,0.8038375
0.5596689,1.264055,0.7493274
1.525502,0.8124467,1.153493
7.320504,0.887201,1.242445
0.5114838,0.6909988,1.061378
1.808899,0.763981,0.8774434
1.703051,0.8851217,1.064247
1.014001,0.8472733,0.6351322
0.8350492,3.561475,1.039004
1.143364,1.093274,0.815464
0.4727214,0.8736054,1.085261
0.7953969,0.5942252,0.8915751
1.472169,0.8903262,1.164931
1.267538,0.301022,1.255723
9.811475,1.091793,1.089313
1.075964,1.401674,0.9602488
1.352853,2.145369,0.957424
1.799886,0.7397397,0.973956
1.505537,1.438045,1.253364
0.9594429,1.44087,1.101373
1.3941,0.7614462,1.176485
1.226243,1.022422,0.9510787
1.130547,1.427984,0.9077705
0.2400663,0.9718714,0.9399701
1.588187,0.8380211,1.041761
1.040258,1.044335,1.19698
