50 seconds,100 seconds,500 seconds
0.1603619,0.6953275,0.5581993
0.7119173,0.2489533,0.4640286
1.233973,0.5633168,0.6051741
0.4887286,0.2132673,0.4662061
0.5722156,0.523718,0.4168779
0.471647,0.3792284,0.4859845
0.2379404,0.5840416,0.4548689
0.2161519,0.4991644,0.3940041
0.5356993,0.7192951,0.5892316
0.6919251,0.551094,0.4236969
8.535188e-07,0.4508256,0.6577113
0.7125192,0.7896577,0.3658796
0.8470508,0.9716304,0.4172814
0.4324956,0.5818829,0.5258706
0.6072148,0.4514119,0.6432576
0.9840843,0.7246265,0.5045776
0.4187914,0.7061182,0.514685
0.3654616,0.7780742,0.5248551
0.4698142,0.5713711,0.6188532
0.2054879,0.7211035,0.5292405
0.9386568,0.1996317,0.377452
7.798739e-09,0.5402189,0.4140711
0.4170468,0.500997,0.4599423
0.968312,0.4407488,0.5850348
0.6742284,0.5121796,0.5051807
0.1374686,0.119319,0.5323435
0.587491,0.7444362,0.5858153
0.6695725,0.4292199,0.5222386
0.7567806,0.4359694,0.6204981
0.3652509,0.4894881,0.2906118
1.000314,0.125137,0.4807521
0.2989607,0.6581149,0.6084084
0.08483936,0.612493,0.3410365
0.6219335,0.3290335,0.4994811
0.692081,0.3182599,0.514549
0.2153525,0.46048,0.5622792
0.5518516,0.597647,0.3882004
0.6432329,0.81749,0.4274841
0.3181475,0.2162765,0.7595668
0.5527557,0.4739691,0.5846579
0.3482983,0.3669244,0.5996131
0.9075528,0.4529632,0.6092237
8.082342e-10,0.7306878,0.4624669
0.4402805,0.3547515,0.5704116
0.6764752,0.6132608,0.2767797
0.7941103,0.4305306,0.4851246
0.7280388,0.8169649,0.4200285
0.05542361,0.5028605,0.5542627
0.263905,0.1483745,0.5666073
0.2556787,0.4338648,0.4773355
0.4921378,0.36179,0.5605096
0.6795076,0.7229459,0.5011834
0.458589,0.3629012,0.5130013
0.5338508,0.5306548,0.6025009
0.2033606,0.2592136,0.5358224
0.3110317,0.3810849,0.4211184
0.5145379,0.371058,0.5406858
0.5369766,0.5231205,0.4362065
0.5070032,0.2625685,0.5368168
1.111932,0.3904821,0.7600773
0.4855843,0.4659545,0.5500106
0.9098495,0.4195501,0.6829098
0.5585877,0.6784621,0.4276068
0.712682,0.3196177,0.5011292
0.8537244,3.708634e-05,0.3739946
0.9295607,0.4344156,0.4144414
0.4636371,0.6282651,0.4361299
0.4563288,0.5645463,0.5039556
0.382221,0.3048341,0.4942964
0.623035,0.2902792,0.5540209
0.5723611,0.5349339,0.351769
0.6708546,0.4751745,0.568164
0.4400162,0.5732366,0.5358776
0.279771,0.3853197,0.4262337
0.3872842,0.2918887,0.5496596
0.2860642,0.5478454,0.5429271
0.5227202,0.3891151,0.5098209
5.393194e-05,0.4802511,0.4413365
0.7025285,0.2718308,0.5230284
3.217855e-08,0.7185217,0.4290635
0.8695385,0.3721551,0.4600859
0.9507547,0.690558,0.6040776
0.642026,0.9119395,0.4149628
0.6567332,0.5531974,0.4205003
0.5500822,0.6392618,0.6101227
0.785608,0.589573,0.5821877
0.8822245,0.814371,0.2867336
0.6456414,0.3664812,0.5288726
0.4783984,0.6781039,0.5880272
0.7111375,0.7539472,0.4347567
5.529361e-07,0.3321185,0.5573709
0.2747567,0.4391648,0.5289713
0.2453208,0.704248,0.5513529
0.5803457,0.7055219,0.5389263
0.1383317,0.3830472,0.561803
0.7986248,0.3974299,0.5082145
0.6248719,0.4717533,0.5333674
0.7164882,0.2956809,0.5074932
0.2696956,0.3206392,0.5826154
0.5615294,0.3425504,0.7085896
