50seconds,100seconds,500seconds
1.751765,0.3047909,0.7312155
5.040792e-09,0.7186122,0.6086695
1.239191,0.4284046,0.5710644
0.4614578,0.6307237,0.5282153
0.02498759,0.520751,0.4625747
0.6153035,0.6029212,0.4708788
0.4314956,0.8877827,0.5651294
0.1997377,0.6007953,0.4644491
0.5255126,1.525676e-07,0.4431681
0.5892266,0.4822835,0.4050208
0.9445598,0.6135342,0.3014964
0.9954755,0.2177846,0.602661
0.7952635,0.6466763,0.5378512
0.5750935,0.4117101,0.3474143
0.9747493,0.34475,0.2791677
2.03471e-05,0.6565017,0.3534405
0.5751599,0.07909175,0.4394336
6.032502e-06,0.7308871,0.8478011
0.3963026,0.6310172,0.4106095
0.4467739,0.5499191,0.4787296
0.2639715,0.581791,0.6029605
0.3221466,0.4251623,0.4319374
0.4365633,0.3878889,0.6917472
0.2743921,0.6573805,0.4181944
0.7607892,0.5874644,0.3972661
0.4960798,0.5237494,0.3516633
0.7418798,0.385528,0.5374703
1.223644,1.106734,0.6953162
0.4190548,0.7094072,0.5089176
0.5013531,0.3901581,0.5552713
0.8644688,0.3366147,0.4841805
5.310799e-07,0.591937,0.4291395
0.7757582,0.3812561,0.537814
0.2676036,0.2794664,0.6422287
1.267475,0.8155341,0.4861886
1.042412,0.5127311,0.6489731
0.04877476,0.2878807,0.5791162
0.7845499,0.7705751,0.5990857
1.319231,0.4425012,0.590112
0.4005268,0.9133273,0.4346785
1.650402,0.4446361,0.7319698
0.08833816,0.8342132,0.4129185
1.306642,0.8864722,0.3527677
0.6392726,1.013652,0.6018582
0.5848853,0.4308222,0.5713721
0.4699803,0.5049153,0.509381
0.1281356,0.698614,0.6020827
0.9676684,0.5186758,0.538842
0.3496182,0.8676001,0.3595666
0.719679,0.6320741,0.5885562
0.1687487,0.5104524,0.4362311
1.017015,0.4579055,0.5764236
0.5393328,0.8208276,0.6402546
0.1940267,0.7707594,0.4285877
0.6228427,0.3403393,0.52483
0.9400727,0.38664,0.6436422
0.5872928,0.2933163,0.4858491
0.3736769,0.8589147,0.7392635
0.2603544,0.2430658,0.2174494
0.4805846,0.5922236,0.4912596
0.1746807,0.1302888,0.5616111
0.614306,0.7217242,0.4619105
2.758859e-09,0.8746003,0.5585549
5.812608e-09,0.2818233,0.5312219
0.0820027,1.602826,0.5198055
0.2847296,0.222027,0.6666987
0.8684187,0.6996795,0.6219307
0.9800371,0.5910769,0.6400634
6.08184e-07,0.8182385,0.4300668
0.8543396,0.5627858,0.4666523
0.962389,0.5642539,0.4367236
0.003841042,0.2642356,0.5645548
0.3620032,0.7631219,0.3481218
0.2044265,0.6217179,0.3990217
0.3890363,0.4523388,0.4567439
0.6321684,0.7583112,0.4863816
0.3857882,0.6204404,0.647813
1.480857,0.4768796,0.5255703
0.007535998,0.5438003,0.4680927
1.305354,0.1133087,0.5258797
0.6961452,0.4022703,0.4617353
0.3834278,2.914399e-06,0.363264
0.09728985,2.032046,0.4884369
0.6265635,0.3176922,0.352282
0.3256768,0.2124724,0.6153603
0.1903568,0.2281075,0.3671546
1.315787,0.3985924,0.6904758
0.5306343,0.5824206,0.53466
0.9152609,0.7921439,0.5289946
0.3724428,0.3115289,0.365264
0.5663814,1.096972,0.6059808
1.967161,0.959789,0.5402321
1.036355,0.9355136,0.5237888
8.932881e-07,0.5719438,0.3967047
0.6476067,0.3393264,0.4462243
0.5055743,0.6789981,0.3859441
0.6765351,0.47788,0.6323754
0.7201202,0.6135623,0.6720082
0.4392278,8.690205e-09,0.3140135
0.2601934,0.5256838,0.6474172
